job_title,job_link,location,job_description,jobs_requirements
Software Engineer,https://themuse.com/jobs/kforce/software-engineer-f3b2d5,"Los Angeles, CA","[' Software Engineer will rapidly build prototypes in scalable way', ' Build the product from prototype to MVP (Minimum viable product)', ' Understanding concepts around Software Engineering, Machine Learning, Distributed Systems, Data Engineering', ' As a Software Engineer, you will design Data models and Data Products to enable extending various products']","["" Bachelor's degree in Computer Science, Software Engineering, or a related field"", ' 3+ years of experience in Software Engineering', ' Proficiency of creating highly available, scalable, low latency platforms', ' Proficiency with Python and 1 other language (JavaScript, Java or Go)', ' Proficiency with AWS stacks, specifically Lambda, DynamoDB, Fargate, Rekognition', ' Experienced at leveraging and integrating internal/external AI/ML solutions', ' Experience with REST and/or GraphQL']"
Full Stack Engineer,https://themuse.com/jobs/citynationalbank/full-stack-engineer-328e2e,"Los Angeles, CA","['Participate in the design & development of cross-functional, multi-platform application systems.', 'Writing great quality code with a drive for automated testing and validation based on the You Build You Own (YBYO) model.', 'Perform diverse engineering activities for performance tuning, monitoring, deployment and production support.', 'Research, influence and implement vendor dependency to simplify the architecture.', 'Implement, maintain and update CI/CD pipelines on a cloud environment.', 'Work with business partners, architects and other groups to identify diverse technical and functional needs of systems based on priority.', 'Collaborate with multiple, enterprise-wide distributed performing teams to deliver new capabilities in business applications.', ""Design and develop API's for Omni-channel clients"", 'Build APIs and UIs to help make use of large data sets, infrastructure and user experience.', 'Provides programming expertise and business analysis skills within an assigned business area, usually as a member of a project team, in analyzing, designing, modifying, and developing business applications.', 'Prepare programming specifications from which programs will be written, and designs, codes, tests, debugs, and documents programs.', 'Prepare programming documentation and recommends changes in development, maintenance and application standards.', 'Analyze and develop logical database designs, data models and relational data definitions across multiple computing environments (e.g., host based, distributed systems, client server, etc.)', 'Comply with architectural standards and established methodologies and practices.']","[""Bachelor's Degree Or Equivalent"", 'Minimum of 4+ years of software development experience And', 'Minimum of 4 years of experience: Java, .NET, Python And', 'Minimum of 3 years experience with databases and data modeling / design (SQL and NoSQL) And', 'Minimum of 2 years in full stack development for cloud solutions (Azure or AWS) - Azure preferred']"
Full Stack Engineer,https://themuse.com/jobs/citynationalbank/full-stack-engineer-860fc9,"Los Angeles, CA","['Participate in the design & development of cross-functional, multi-platform application systems.', 'Writing great quality code with a drive for automated testing and validation based on the You Build You Own (YBYO) model.', 'Perform diverse engineering activities for performance tuning, monitoring, deployment and production support.', 'Research, influence and implement vendor dependency to simplify the architecture.', 'Implement, maintain and update CI/CD pipelines on a cloud environment.', 'Work with business partners, architects and other groups to identify diverse technical and functional needs of systems based on priority.', 'Collaborate with multiple, enterprise-wide distributed performing teams to deliver new capabilities in business applications.', 'Design and develop APIs for Omni-channel clients', 'Build APIs and UIs to help make use of large data sets, infrastructure and user experience.', 'Provides programming expertise and business analysis skills within an assigned business area, usually as a member of a project team, in analyzing, designing, modifying, and developing business applications.', 'Prepare programming specifications from which programs will be written, and designs, codes, tests, debugs, and documents programs.', 'Prepare programming documentation and recommends changes in development, maintenance and application standards.', 'Analyze and develop logical database designs, data models and relational data definitions across multiple computing environments (e.g., host based, distributed systems, client server, etc.)', 'Comply with architectural standards and established methodologies and practices.']","[""Bachelor's Degree Or Equivalent"", 'Minimum of 4+ years of software development experience And', 'Minimum of 4 years of experience: Java, .NET, Python And', 'Minimum of 3 years experience with databases and data modeling / design (SQL and NoSQL) And', 'Minimum of 2 years in full stack development for cloud solutions (Azure or AWS) - Azure preferred']"
Senior Data Engineer,https://themuse.com/jobs/spokeo/senior-data-engineer-d2d2e5,"Pasadena, CA / Remote","['40% - Build infrastructure and data automation pipeline for the extraction, preparation, and loading of data from various sources. Automate and integrate new components into the data pipeline.', '30% - Implement robust ETL processes to efficiently execute product vision and strategy in alignment with organizational goals and priorities.', '10% - Create unit and stress test components to monitor technical performance and ensure identified issues are resolved.', '10% - Develop data analysis tools to provide data insights and capture key metrics.', '10% - Research solutions and maintain technical documentation.', 'Follow best practices for data governance, data quality, data cleansing, and other ETL-related activities.']","['7+ years of development experience in data engineering.', '5+ years of hands-on programming experience with Python.', '5+ years of professional experience working in big data ecosystems, preferably with Spark', '3+ years experience with SQL, schema design, and dimensional data modeling.', '2+ years of professional experience working with dataflow management tools, such as Airflow', '2+ years of development experience in highly scalable, distributed systems and cluster architectures using AWS.', '2+ years experience with non-relational databases (e.g., DynamoDB, Elasticsearch, etc.)', 'Prior experience working with large data sets (>100M+ records)', 'B.S. in Computer Science, Information Systems, or related fields']"
"Software Engineer, Product",https://themuse.com/jobs/meta/software-engineer-product-c117d1,"Los Angeles, CA","['Full stack web/mobile application development with a variety of coding languages', 'Create consumer products and features using internal programming language Hack', 'Implement web or mobile interfaces using XHTML, CSS, and JavaScript', 'Work closely with our PM and design teams to define feature specifications and build products leveraging frameworks such as React & React Native', 'Work closely with operations and infrastructure to build and scale back-end services', 'Build report interfaces and data feeds', 'Sets direction and goals for the team regarding project impact, product quality and engineering efficiency', 'Leads major initiatives, projects, teams, rollouts and phased-releases', ""Helps to onboard new team members, provides mentorship and enables successful ramp up on your team's code bases""]","['7+ years of programming experience', '7+ years relevant experience building large-scale applications or similar experience', 'Experience leading major initiatives successfully. Experience leading projects and teams accordingly', 'Experience building and shipping high quality work and achieving high reliability', 'Experience improving stability through thoughtful code reviews, appropriate testing, proper rollout, monitoring, and proactive changes', 'Experienced in utilizing data and analysis to explain technical problems and providing detailed feedback and solutions', ""Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience.""]"
Senior Salesforce Developer / Administrator,https://themuse.com/jobs/kforce/senior-salesforce-developer-administrator-8034a2,"Los Angeles, CA","[' Bachelor Science in Computer Science, Information Systems, Computer Engineering, or related field ', ' Minimum 5 years of experience with the Salesforce platform either as a Salesforce Admin and/or Salesforce Developer ', ' Business knowledge of Salesforce products to drive solution design and implementation in a healthcare environment', ' Data management capabilities', ' Knowledge of Integrations, 3rd party integration tools, ETL with Salesforce', ' Project management experience', ' Agile experience a plus', ' Knowledge of Cerner Millennium products (i.e. HealtheIntent) a plus', ' Good organization skills with ability to prioritize multiple activities in a rapidly changing environment', ' Strong customer service focus', ' Salesforce admin certification is a plus', ' Lightning, Apex experience is a plus']",[]
System Engineer,https://themuse.com/jobs/wipro/system-engineer-10ca34,"Los Angeles, CA","[' A PROUD HISTORY OF OVER 75 YEARS ', ' FY22 REVENUE 10.4 BN USD ', "" WE'RE PRESENT IN 66 COUNTRIES "", ' OVER 1,400 ACTIVE GLOBAL CLIENTS ']","['Respond to phone, email, and chat-based inquiries from colleagues regarding technical issues and provide timely resolution to problems.', 'Troubleshoot and diagnose hardware, software, and network issues and provide support for desktops, laptops, printers, and other IT equipment.', 'Provide basic training and guidance to staff on how to use hardware and office productivity software applications, including Windows 10/11, Microsoft Office applications, Teams, and Zoom.', 'Document and track all support requests and resolutions using ServiceNow and Jira Service Manager ticketing systems.', 'Escalate unresolved issues to appropriate technical staff or vendors as needed.', 'Proactively monitor and maintain IT systems to ensure they are up-to-date and secure.', 'Create and maintain end-user training and procedural documentation.']"
Sr. Staff Software Engineer - Salesforce (Remote),https://themuse.com/jobs/bd/sr-staff-software-engineer-salesforce-remote,"Atlanta, GA","['Deeply understand and drive toward the business goals and intended customer outcomes', 'You will be responsible for managing a team of analysts, developers, and drive delivery of the projects.', 'Provide Salesforce domain expertise and assessments to business collaborators and team members.', 'Good knowledge of Salesforce technologies offering standard process advice and recommendations to the team on system architecture and technical design.', 'Contribute to the Salesforce strategic vision and roadmap for the evolution of Salesforce within BD.', 'Demonstrated experience with advanced Salesforce.com development tools and techniques, e.g. Apex language, Force.com custom development, triggers, controllers, JavaScript, Force.com SOAP and REST APIs, JSON, sObjects, SOQL, SOSL, Chatter API, UI API, outbound messaging, Lightning Components and Visualforce pages.', 'Identify technical risks on your projects and help implement a mitigation plan.', 'Assist in the incorporation of DevSecOps principles into the development ecosystem, partnering with peer areas', 'Performs technical design reviews and code reviews.', 'Must be comfortable taking appropriate steps to protect PHI/PII/PCI.']","['Provide leadership, direction, and strategy for a growing team while owning and leading platform modernization efforts', 'Implement reliable and scalable automation solutions using out of box thinking, delivering high quality user experiences', 'Drive and enable teams to establish and progress toward key metrics to measure success-i.e. key performance indicators (KPIs) and/or objectives and key results (OKRs)', 'Align as a trusted advisor and strategic team member to understand business challenges and assist in strategically planning future business capabilities by demonstrating best-in-class technology solutions', 'Collaborate across peer groups to help drive organizational improvements and operational excellence', 'Know the latest on Salesforce releases, new features, product roadmaps, and applications available from 3rd parties on the Salesforce AppExchange', 'Measure, monitor, and ensure the health of the production systems', 'Ensure healthcare information security standard process controls are in place, and they adhere to HIPAA using a common control framework (i.e. NIST, HITRUST CSF)', 'Ability to estimate resourcing and costs, supporting cases, and high-level program plans']"
"Site Reliability Engineer, Cloud Infrastructure- USDS",https://themuse.com/jobs/tiktok/site-reliability-engineer-cloud-infrastructure-usds-334aac,"Los Angeles, CA",[],[]
Staff Software Engineer,https://themuse.com/jobs/visa/staff-software-engineer-ded695,"Los Angeles, CA","['Developing and testing software applications, and documenting software design', 'Applying the appropriate standards, processes, procedures, and tools throughout the system development life cycle to support the generation of engineering applications and products', 'Performing code reviews to verify code changes meet development requirements, standard and best practice, and deploying and staging code in development environments', 'Developing database queries, or code that generates queries and fixes bugs found in existing codebases', 'Contributing to authoring large project deployment procedures', 'Developing complex systems independently and designing multi-tier solutions', 'Producing highly scalable, high performing applications', 'Helping preserve goals and business requirements']",[]
